     Index,            Real component,       Imaginary component,                 Magnitude
        65,    -1.184033616027862e+07,     0.000000000000000e+00,     1.184033616027862e+07
        66,    -1.168178907939999e+07,     0.000000000000000e+00,     1.168178907939999e+07
        67,    -1.152499976673377e+07,     0.000000000000000e+00,     1.152499976673377e+07
        68,    -1.121663435028065e+07,     0.000000000000000e+00,     1.121663435028065e+07
        69,    -1.136995317722963e+07,     0.000000000000000e+00,     1.136995317722963e+07
        70,    -1.106502840959336e+07,     0.000000000000000e+00,     1.106502840959336e+07
        71,    -1.076689610259520e+07,     0.000000000000000e+00,     1.076689610259520e+07
        72,    -1.091512056305408e+07,     0.000000000000000e+00,     1.091512056305408e+07
        73,    -1.062034040405799e+07,     0.000000000000000e+00,     1.062034040405799e+07
        74,    -1.033217721483144e+07,     0.000000000000000e+00,     1.033217721483144e+07
        75,    -1.047543892705523e+07,     0.000000000000000e+00,     1.047543892705523e+07
        76,    -1.019054089411987e+07,     0.000000000000000e+00,     1.019054089411987e+07
        77,    -1.005051567500093e+07,     0.000000000000000e+00,     1.005051567500093e+07
        78,    -9.912087350755733e+06,     0.000000000000000e+00,     9.912087350755733e+06
        79,    -9.775241797720009e+06,     0.000000000000000e+00,     9.775241797720009e+06
        80,    -9.639964975134509e+06,     0.000000000000000e+00,     9.639964975134509e+06
        81,    -9.506242924995260e+06,     0.000000000000000e+00,     9.506242924995260e+06
        82,    -9.374062246955698e+06,     0.000000000000000e+00,     9.374062246955698e+06
        83,    -9.114267542211896e+06,     0.000000000000000e+00,     9.114267542211896e+06
        84,    -9.243408197866777e+06,     0.000000000000000e+00,     9.243408197866777e+06
        85,    -8.986626651467735e+06,     0.000000000000000e+00,     8.986626651467735e+06
        86,    -8.735790060341854e+06,     0.000000000000000e+00,     8.735790060341854e+06
        87,    -8.860471979088087e+06,     0.000000000000000e+00,     8.860471979088087e+06
        88,    -8.612567512151539e+06,     0.000000000000000e+00,     8.612567512151539e+06
        89,    -8.370447402407484e+06,     0.000000000000000e+00,     8.370447402407484e+06
        90,    -8.490791032928750e+06,     0.000000000000000e+00,     8.490791032928750e+06
        91,    -8.251523481477147e+06,     0.000000000000000e+00,     8.251523481477147e+06
        92,    -8.017882616704913e+06,     0.000000000000000e+00,     8.017882616704913e+06
        93,    -8.134006212013091e+06,     0.000000000000000e+00,     8.134006212013091e+06
        94,    -7.903139798884419e+06,     0.000000000000000e+00,     7.903139798884419e+06
        95,    -7.677745311193730e+06,     0.000000000000000e+00,     7.677745311193730e+06
        96,    -7.789764942350646e+06,     0.000000000000000e+00,     7.789764942350646e+06
        97,    -7.567068249617437e+06,     0.000000000000000e+00,     7.567068249617437e+06
        98,    -7.457721181758979e+06,     0.000000000000000e+00,     7.457721181758979e+06
        99,    -7.242967122326720e+06,     0.000000000000000e+00,     7.242967122326720e+06
       100,    -7.349691611508776e+06,     0.000000000000000e+00,     7.349691611508776e+06
       101,    -7.137535377058211e+06,     0.000000000000000e+00,     7.137535377058211e+06
       102,    -7.033384117748030e+06,     0.000000000000000e+00,     7.033384117748030e+06
       103,    -6.930501165452519e+06,     0.000000000000000e+00,     6.930501165452519e+06
       104,    -6.828874420050016e+06,     0.000000000000000e+00,     6.828874420050016e+06
       105,    -6.728491860050409e+06,     0.000000000000000e+00,     6.728491860050409e+06
       106,    -6.629341542402137e+06,     0.000000000000000e+00,     6.629341542402137e+06
       107,    -6.531411602298123e+06,     0.000000000000000e+00,     6.531411602298123e+06
       108,    -6.434690252979898e+06,     0.000000000000000e+00,     6.434690252979898e+06
       109,    -6.339165785540435e+06,     0.000000000000000e+00,     6.339165785540435e+06
       110,    -6.244826568725196e+06,     0.000000000000000e+00,     6.244826568725196e+06
       111,    -6.151661048730931e+06,     0.000000000000000e+00,     6.151661048730931e+06
       112,    -6.059657749004447e+06,     0.000000000000000e+00,     6.059657749004447e+06
       113,    -5.968805270038455e+06,     0.000000000000000e+00,     5.968805270038455e+06
       114,    -5.879092289166311e+06,     0.000000000000000e+00,     5.879092289166311e+06
       115,    -5.790507560355177e+06,     0.000000000000000e+00,     5.790507560355177e+06
       116,    -5.703039913998156e+06,     0.000000000000000e+00,     5.703039913998156e+06
       117,    -5.616678256704009e+06,     0.000000000000000e+00,     5.616678256704009e+06
       118,    -5.531411571085806e+06,     0.000000000000000e+00,     5.531411571085806e+06
       119,    -5.447228915548226e+06,     0.000000000000000e+00,     5.447228915548226e+06
       120,    -5.364119424073537e+06,     0.000000000000000e+00,     5.364119424073537e+06
       121,    -5.282072306004919e+06,     0.000000000000000e+00,     5.282072306004919e+06
       122,    -5.201076845829647e+06,     0.000000000000000e+00,     5.201076845829647e+06
       123,    -5.121122402960602e+06,     0.000000000000000e+00,     5.121122402960602e+06
       124,    -4.964294380093741e+06,     0.000000000000000e+00,     4.964294380093741e+06
       125,    -5.042198411515199e+06,     0.000000000000000e+00,     5.042198411515199e+06
       126,    -4.887399891556961e+06,     0.000000000000000e+00,     4.887399891556961e+06
       127,    -4.736598244529787e+06,     0.000000000000000e+00,     4.736598244529787e+06
       128,    -4.811504602800870e+06,     0.000000000000000e+00,     4.811504602800870e+06
       129,    -4.662670621030658e+06,     0.000000000000000e+00,     4.662670621030658e+06
